ZIP_CODE,State_Code,Latitude,Longitude,EV_LEVEL_1,EV_LEVEL_2,EV_FAST,NETWORK_TYPE_ChargePoint,NETWORK_TYPE_Non-Networked,NETWORK_TYPE_Other-Network,TOTAL_HOUSEHOLDS,MEDIAN_INCOME,REG_COUNTS
07512,NJ,163.617505,-296.873297,0.0,6.0,0.0,2.0,2.0,0.0,3595.0,105637.0,279
07601,NJ,81.769609,-148.096019,0.0,14.0,0.0,0.0,1.0,1.0,19080.0,70090.0,570
07601,NJ,81.769609,-148.096019,0.0,14.0,0.0,0.0,1.0,1.0,19080.0,70090.0,1
07604,NJ,122.56253369999999,-222.2174625,0.0,6.0,0.0,0.0,2.0,1.0,4224.0,94801.0,235
07604,NJ,122.56253369999999,-222.2174625,0.0,6.0,0.0,0.0,2.0,1.0,4224.0,94801.0,1
07621,NJ,40.917338,-73.997447,0.0,1.0,0.0,0.0,1.0,0.0,8946.0,96335.0,392
07621,NJ,40.917338,-73.997447,0.0,1.0,0.0,0.0,1.0,0.0,8946.0,96335.0,1
07624,NJ,81.93955009999999,-147.91340530000002,0.0,4.0,0.0,1.0,0.0,1.0,2778.0,140357.0,2
07624,NJ,81.93955009999999,-147.91340530000002,0.0,4.0,0.0,1.0,0.0,1.0,2778.0,140357.0,552
07627,NJ,81.914792,-147.928344,0.0,5.0,0.0,0.0,2.0,0.0,1680.0,154500.0,516
07627,NJ,81.914792,-147.928344,0.0,5.0,0.0,0.0,2.0,0.0,1680.0,154500.0,2
07644,NJ,40.89150205,-74.07254084,0.0,0.0,8.0,0.0,0.0,1.0,8805.0,66595.0,10
07644,NJ,40.89150205,-74.07254084,0.0,0.0,8.0,0.0,0.0,1.0,8805.0,66595.0,233
07645,NJ,41.049171,-74.060106,0.0,2.0,0.0,1.0,0.0,0.0,2975.0,146708.0,4
07645,NJ,41.049171,-74.060106,0.0,2.0,0.0,1.0,0.0,0.0,2975.0,146708.0,5
07645,NJ,41.049171,-74.060106,0.0,2.0,0.0,1.0,0.0,0.0,2975.0,146708.0,284
07645,NJ,41.049171,-74.060106,0.0,2.0,0.0,1.0,0.0,0.0,2975.0,146708.0,4
07645,NJ,41.049171,-74.060106,0.0,2.0,0.0,1.0,0.0,0.0,2975.0,146708.0,1
07649,NJ,81.908623,-148.065115,0.0,4.0,0.0,2.0,0.0,0.0,2788.0,132358.0,316
07650,NJ,40.850926,-74.005143,0.0,2.0,0.0,0.0,0.0,1.0,7403.0,68245.0,359
07650,NJ,40.850926,-74.005143,0.0,2.0,0.0,0.0,0.0,1.0,7403.0,68245.0,2
07652,NJ,613.9932464999999,-1111.097973,0.0,38.0,8.0,8.0,2.0,5.0,8232.0,128306.0,1505
07652,NJ,613.9932464999999,-1111.097973,0.0,38.0,8.0,8.0,2.0,5.0,8232.0,128306.0,2
07656,NJ,123.099984,-222.111878,0.0,6.0,0.0,3.0,0.0,0.0,3259.0,137883.0,250
07657,NJ,40.822746,-74.029216,0.0,0.0,2.0,0.0,0.0,1.0,3827.0,71699.0,160
07657,NJ,40.822746,-74.029216,0.0,0.0,2.0,0.0,0.0,1.0,3827.0,71699.0,1
07660,NJ,40.86199985,-74.00813607,0.0,4.0,0.0,0.0,0.0,1.0,4720.0,86923.0,181
07662,NJ,122.705152,-222.215302,0.0,2.0,2.0,3.0,0.0,0.0,2001.0,84196.0,88
07663,NJ,81.79777168999999,-148.1917973,0.0,4.0,2.0,0.0,0.0,2.0,5328.0,106776.0,173
07666,NJ,40.885667,-74.00727,0.0,2.0,0.0,1.0,0.0,0.0,13072.0,111821.0,931
07670,NJ,81.853037,-147.935568,0.0,4.0,0.0,1.0,1.0,0.0,4690.0,172926.0,1346
07670,NJ,81.853037,-147.935568,0.0,4.0,0.0,1.0,1.0,0.0,4690.0,172926.0,2
07677,NJ,861.6769128,-1555.5318284,0.0,24.0,16.0,19.0,1.0,1.0,1963.0,171103.0,5657
07677,NJ,861.6769128,-1555.5318284,0.0,24.0,16.0,19.0,1.0,1.0,1963.0,171103.0,2
07677,NJ,861.6769128,-1555.5318284,0.0,24.0,16.0,19.0,1.0,1.0,1963.0,171103.0,12
07701,NJ,322.726498,-592.555703,0.0,11.0,1.0,3.0,5.0,0.0,9950.0,91587.0,619
07712,NJ,80.433656,-148.022389,0.0,8.0,0.0,0.0,0.0,2.0,16726.0,69830.0,756
07719,NJ,40.171146,-74.02725,0.0,1.0,0.0,1.0,0.0,0.0,8395.0,100391.0,576
07724,NJ,281.974739,-518.291945,0.0,9.0,0.0,7.0,0.0,0.0,8740.0,82783.0,607
07724,NJ,281.974739,-518.291945,0.0,9.0,0.0,7.0,0.0,0.0,8740.0,82783.0,1
07728,NJ,161.04085500000002,-297.106153,0.0,4.0,8.0,1.0,2.0,1.0,19954.0,91855.0,1021
07728,NJ,161.04085500000002,-297.106153,0.0,4.0,8.0,1.0,2.0,1.0,19954.0,91855.0,1
07730,NJ,40.418684,-74.169405,0.0,2.0,0.0,0.0,0.0,1.0,5821.0,101849.0,224
07733,NJ,242.184558,-444.99616100000003,0.0,12.0,0.0,6.0,0.0,0.0,5831.0,148991.0,1062
07733,NJ,242.184558,-444.99616100000003,0.0,12.0,0.0,6.0,0.0,0.0,5831.0,148991.0,1
07735,NJ,121.29612470000001,-222.5416329,0.0,5.0,0.0,0.0,2.0,1.0,7104.0,79467.0,208
07740,NJ,40.277546,-73.98467,0.0,2.0,0.0,1.0,0.0,0.0,12130.0,60122.0,1
07740,NJ,40.277546,-73.98467,0.0,2.0,0.0,1.0,0.0,0.0,12130.0,60122.0,492
07747,NJ,40.385504,-74.214535,0.0,2.0,0.0,1.0,0.0,0.0,11892.0,109396.0,643
07747,NJ,40.385504,-74.214535,0.0,2.0,0.0,1.0,0.0,0.0,11892.0,109396.0,1
07748,NJ,40.402442,-74.123529,0.0,0.0,6.0,0.0,0.0,1.0,9645.0,121490.0,466
07753,NJ,241.34663,-444.443596,0.0,6.0,14.0,1.0,2.0,3.0,15730.0,73544.0,401
07755,NJ,40.253723,-74.013243,0.0,2.0,0.0,0.0,1.0,0.0,2222.0,103472.0,167
07764,NJ,40.29799,-74.02846,0.0,0.0,1.0,1.0,0.0,0.0,2485.0,109073.0,250
07828,NJ,40.908788,-74.72488,0.0,0.0,2.0,0.0,0.0,1.0,5854.0,75528.0,1
07828,NJ,40.908788,-74.72488,0.0,0.0,2.0,0.0,0.0,1.0,5854.0,75528.0,213
07832,NJ,40.933846,-75.100997,0.0,0.0,8.0,0.0,0.0,1.0,1273.0,99243.0,35
07834,NJ,204.396648,-372.439561,0.0,8.0,1.0,2.0,3.0,0.0,6803.0,124593.0,1
07834,NJ,204.396648,-372.439561,0.0,8.0,1.0,2.0,3.0,0.0,6803.0,124593.0,706
07836,NJ,40.879619,-74.711475,0.0,3.0,0.0,0.0,0.0,1.0,4536.0,122292.0,276
07847,NJ,40.878504,-74.635685,0.0,2.0,0.0,1.0,0.0,0.0,746.0,112938.0,13
07849,NJ,40.955915,-74.596386,0.0,2.0,0.0,0.0,0.0,1.0,3670.0,101977.0,177
07856,NJ,40.907707,-74.641026,0.0,2.0,0.0,0.0,0.0,1.0,1748.0,90500.0,49
07860,NJ,246.435402,-448.415105,0.0,13.0,1.0,4.0,1.0,1.0,9568.0,87820.0,293
07866,NJ,81.799046,-149.070764,0.0,2.0,12.0,1.0,0.0,1.0,8623.0,110028.0,395
07869,NJ,40.822815,-74.626618,0.0,2.0,0.0,1.0,0.0,0.0,9169.0,140841.0,939
07869,NJ,40.822815,-74.626618,0.0,2.0,0.0,1.0,0.0,0.0,9169.0,140841.0,1
07871,NJ,123.12368900000001,-223.89518600000002,0.0,6.0,0.0,3.0,0.0,0.0,7188.0,137717.0,729
07871,NJ,123.12368900000001,-223.89518600000002,0.0,6.0,0.0,3.0,0.0,0.0,7188.0,137717.0,2
07874,NJ,122.764791,-224.147492,0.0,3.0,0.0,0.0,2.0,1.0,3055.0,97080.0,102
07882,NJ,81.49088,-149.95475299999998,0.0,4.0,0.0,1.0,1.0,0.0,5676.0,84135.0,220
07901,NJ,81.43364199999999,-148.72597100000002,0.0,5.0,0.0,1.0,0.0,1.0,8376.0,154688.0,1290
07920,NJ,366.15605600000004,-670.959687,0.0,41.0,8.0,5.0,2.0,2.0,9802.0,151365.0,1692
07920,NJ,366.15605600000004,-670.959687,0.0,41.0,8.0,5.0,2.0,2.0,9802.0,151365.0,2
07921,NJ,81.347496,-149.33518800000002,0.0,10.0,0.0,1.0,1.0,0.0,3794.0,116250.0,375
07922,NJ,121.987345,-223.249794,0.0,7.0,0.0,2.0,1.0,0.0,4144.0,181392.0,645
07924,NJ,122.15625600000001,-223.700806,0.0,6.0,0.0,1.0,0.0,2.0,2581.0,165677.0,467
07927,NJ,40.813409,-74.468935,0.0,2.0,0.0,0.0,0.0,1.0,1590.0,125588.0,161
07928,NJ,81.48177135,-148.7612784,0.0,4.0,0.0,0.0,0.0,2.0,6482.0,191607.0,1030
07932,NJ,40.786117,-74.368576,0.0,3.0,0.0,0.0,0.0,1.0,3992.0,127273.0,370
07936,NJ,40.807195,-74.371329,0.0,1.0,0.0,0.0,1.0,0.0,3771.0,136016.0,328
07940,NJ,203.80219078,-372.05378329,0.0,10.0,0.0,0.0,0.0,5.0,5589.0,146620.0,781
07950,NJ,122.52041023,-223.41413725,0.0,4.0,1.0,2.0,0.0,1.0,7147.0,127226.0,717
07960,NJ,122.301187,-223.45494100000002,0.0,8.0,0.0,0.0,2.0,1.0,18047.0,125744.0,2067
07974,NJ,122.080574,-223.215892,0.0,10.0,0.0,1.0,1.0,1.0,4134.0,154655.0,460
07981,NJ,40.818598,-74.417662,0.0,4.0,0.0,0.0,1.0,0.0,3558.0,118897.0,270
08002,NJ,519.06012819,-975.45714593,0.0,19.0,13.0,8.0,2.0,3.0,8956.0,82285.0,2302
08003,NJ,159.58014873000002,-299.83678869,0.0,7.0,0.0,0.0,0.0,4.0,10870.0,133946.0,1490
08003,NJ,159.58014873000002,-299.83678869,0.0,7.0,0.0,0.0,0.0,4.0,10870.0,133946.0,2
08005,NJ,39.759444,-74.253456,0.0,0.0,8.0,0.0,0.0,1.0,9357.0,73914.0,203
08007,NJ,39.8666,-75.052926,0.0,1.0,0.0,0.0,1.0,0.0,2120.0,75417.0,65
08008,NJ,197.844043,-371.180031,0.0,9.0,0.0,4.0,0.0,1.0,3510.0,87960.0,217
08010,NJ,40.049579,-74.907045,0.0,2.0,0.0,1.0,0.0,0.0,4343.0,64525.0,103
08012,NJ,119.195236,-225.105723,0.0,5.0,1.0,1.0,2.0,0.0,14658.0,74573.0,372
08016,NJ,440.888663,-823.141631,0.0,16.0,9.0,9.0,1.0,1.0,12145.0,77281.0,438
08028,NJ,39.703728,-75.113659,0.0,5.0,0.0,0.0,1.0,0.0,6479.0,72313.0,324
08031,NJ,79.73332183,-150.18195938000002,0.0,2.0,0.0,0.0,0.0,2.0,4392.0,59646.0,101
08034,NJ,79.7996684,-150.0115691,0.0,2.0,8.0,0.0,0.0,2.0,6893.0,95012.0,508
08036,NJ,39.982438,-74.808764,0.0,1.0,0.0,0.0,1.0,0.0,2240.0,108521.0,178
08037,NJ,39.6535872,-74.7939703,0.0,2.0,0.0,0.0,0.0,1.0,8325.0,76073.0,328
08050,NJ,119.077632,-222.75667800000002,0.0,5.0,0.0,0.0,1.0,2.0,9935.0,82748.0,299
08051,NJ,79.576047,-150.358539,0.0,2.0,0.0,2.0,0.0,0.0,4176.0,78846.0,101
08052,NJ,39.937425,-74.970187,0.0,0.0,8.0,0.0,0.0,1.0,8285.0,61335.0,164
08053,NJ,79.772419,-149.855846,0.0,1.0,12.0,1.0,0.0,1.0,17624.0,100720.0,923
08054,NJ,239.7325006,-449.44752489999996,0.0,4.0,16.0,1.0,0.0,5.0,17302.0,94832.0,21
08054,NJ,239.7325006,-449.44752489999996,0.0,4.0,16.0,1.0,0.0,5.0,17302.0,94832.0,5
08054,NJ,239.7325006,-449.44752489999996,0.0,4.0,16.0,1.0,0.0,5.0,17302.0,94832.0,1143
08054,NJ,239.7325006,-449.44752489999996,0.0,4.0,16.0,1.0,0.0,5.0,17302.0,94832.0,588
08054,NJ,239.7325006,-449.44752489999996,0.0,4.0,16.0,1.0,0.0,5.0,17302.0,94832.0,45
08054,NJ,239.7325006,-449.44752489999996,0.0,4.0,16.0,1.0,0.0,5.0,17302.0,94832.0,5
08059,NJ,39.889663,-75.090522,0.0,0.0,1.0,1.0,0.0,0.0,2127.0,76708.0,49
08060,NJ,80.013611,-149.62883499999998,0.0,2.0,8.0,1.0,0.0,1.0,8885.0,91616.0,355
08066,NJ,39.821606,-75.240969,0.0,0.0,8.0,0.0,0.0,1.0,3635.0,51647.0,47
08067,NJ,119.155092,-226.202828,0.0,1.0,16.0,0.0,1.0,2.0,587.0,87188.0,29
08075,NJ,40.020901,-74.946098,0.0,0.0,1.0,0.0,1.0,0.0,10947.0,77750.0,305
08078,NJ,39.8498,-75.07254,0.0,2.0,0.0,1.0,0.0,0.0,3149.0,67263.0,55
08080,NJ,39.779728,-75.123055,0.0,2.0,0.0,1.0,0.0,0.0,13396.0,103247.0,629
08080,NJ,39.779728,-75.123055,0.0,2.0,0.0,1.0,0.0,0.0,13396.0,103247.0,1
08081,NJ,79.476293,-150.024679,0.0,2.0,4.0,1.0,0.0,1.0,16791.0,89201.0,660
08083,NJ,39.854095,-75.022869,0.0,0.0,8.0,0.0,0.0,1.0,3718.0,76433.0,100
08085,NJ,39.735954,-75.324425,0.0,2.0,0.0,1.0,0.0,0.0,6755.0,126956.0,354
08087,NJ,39.575893,-74.364296,0.0,2.0,0.0,1.0,0.0,0.0,10917.0,66410.0,256
08088,NJ,79.683255,-149.473857,0.0,4.0,0.0,0.0,2.0,0.0,9269.0,83160.0,1
08088,NJ,79.683255,-149.473857,0.0,4.0,0.0,0.0,2.0,0.0,9269.0,83160.0,474
08096,NJ,119.497599,-225.414116,0.0,4.0,12.0,0.0,2.0,1.0,13717.0,70780.0,405
08098,NJ,39.629543,-75.36565,0.0,2.0,0.0,1.0,0.0,0.0,3269.0,92750.0,116
08108,NJ,39.90946,-75.047556,0.0,2.0,0.0,1.0,0.0,0.0,7631.0,97279.0,436
08109,NJ,39.933545,-75.077512,0.0,3.0,0.0,0.0,0.0,1.0,8422.0,70153.0,261
08202,NJ,78.190802,-149.440727,0.0,3.0,0.0,2.0,0.0,0.0,809.0,87604.0,122
08203,NJ,39.399645,-74.371351,0.0,4.0,0.0,0.0,0.0,1.0,4052.0,72372.0,133
08204,NJ,116.814529,-224.70954,0.0,9.0,4.0,1.0,1.0,1.0,7735.0,71340.0,1
08204,NJ,116.814529,-224.70954,0.0,9.0,4.0,1.0,1.0,1.0,7735.0,71340.0,305
08205,NJ,157.90454592999998,-298.06707592,0.0,9.0,0.0,2.0,0.0,2.0,10210.0,70966.0,406
08210,NJ,78.170792,-149.633094,2.0,2.0,12.0,0.0,1.0,1.0,6381.0,71655.0,246
08215,NJ,79.076941,-149.273037,0.0,3.0,0.0,1.0,1.0,0.0,5310.0,67403.0,160
08221,NJ,39.357783,-74.56111,0.0,1.0,0.0,0.0,1.0,0.0,2509.0,109013.0,216
08226,NJ,117.836206,-223.72689400000002,0.0,6.0,0.0,1.0,2.0,0.0,5253.0,81076.0,261
08234,NJ,354.77275099999997,-671.3637180000001,0.0,15.0,9.0,3.0,2.0,4.0,13914.0,81681.0,680
08234,NJ,354.77275099999997,-671.3637180000001,0.0,15.0,9.0,3.0,2.0,4.0,13914.0,81681.0,1
08260,NJ,155.91431731,-299.31381477,0.0,7.0,0.0,2.0,0.0,2.0,6103.0,50911.0,217
08302,NJ,39.377487,-75.224361,2.0,0.0,0.0,0.0,1.0,0.0,13927.0,51161.0,214
