ZIP_CODE,EV_LEVEL_1,EV_LEVEL_2,EV_FAST,NETWORK_TYPE_ChargePoint,NETWORK_TYPE_Non-Networked,NETWORK_TYPE_Other-Network,TOTAL_HOUSEHOLDS,MEDIAN_INCOME,REG_COUNTS
77803,2,5,0,2,1,1,38760.0,163612.0,436
77807,0,4,0,2,0,0,7036.0,133918.0,282
77830,0,0,1,1,0,0,1186.0,77821.0,25
77833,0,16,0,2,0,4,60978.0,328488.0,753
77840,0,11,4,1,0,4,102045.0,130375.0,1365
77844,0,3,0,0,0,1,0.0,0.0,0
77845,0,6,0,1,2,1,97372.0,331716.0,6040
77864,0,0,4,0,0,1,2769.0,52240.0,22
77868,0,6,1,5,0,0,23295.0,271760.0,370
77880,0,2,0,0,0,1,501.0,68365.0,35
77901,0,0,6,0,0,1,14280.0,43957.0,150
77904,0,8,0,0,1,2,31812.0,229611.0,774
77954,0,3,0,2,0,0,7232.0,118112.0,60
77962,0,3,0,0,0,1,1179.0,66587.0,0
77979,0,3,0,0,0,2,12440.0,117754.0,86
78003,0,2,0,1,0,0,3750.0,60116.0,61
78006,0,8,1,1,2,1,48660.0,343252.0,5872
78013,0,1,0,0,0,1,2157.0,65757.0,73
78019,0,2,2,3,0,0,828.0,160908.0,45
78022,0,2,0,0,0,1,1390.0,54468.0,7
78024,0,8,0,0,0,2,1158.0,108250.0,74
78025,0,2,0,1,0,0,1928.0,52692.0,31
78028,0,11,2,7,1,0,134848.0,438280.0,3912
78041,0,6,16,2,2,2,87216.0,303618.0,909
78063,0,4,0,2,0,0,7282.0,119516.0,121
78071,3,0,8,0,1,1,2204.0,85098.0,38
78114,0,6,0,0,0,2,15282.0,141680.0,123
78124,0,3,0,0,0,1,2433.0,75211.0,69
78130,0,13,0,1,3,2,168924.0,393762.0,12222
78133,0,2,0,0,0,1,7217.0,67366.0,385
78154,0,4,16,2,0,4,86742.0,484242.0,2424
78155,0,3,2,2,0,1,52077.0,174012.0,1365
78201,0,8,0,4,0,0,65228.0,148732.0,1608
78202,0,3,0,0,0,1,3812.0,28130.0,144
