ZIP_CODE,EV_LEVEL_1,EV_LEVEL_2,EV_FAST,NETWORK_TYPE_ChargePoint,NETWORK_TYPE_Non-Networked,NETWORK_TYPE_Other-Network,TOTAL_HOUSEHOLDS,MEDIAN_INCOME,REG_COUNTS
78022,0,2,0,0,0,1,1390.0,54468.0,7
78024,0,8,0,0,0,2,579.0,54125.0,37
78025,0,2,0,1,0,0,1928.0,52692.0,31
78028,0,11,2,7,1,0,16856.0,54785.0,489
78041,0,3,8,1,1,1,14536.0,50603.0,303
78063,0,2,0,1,0,0,3641.0,59758.0,121
78071,3,0,8,0,1,1,1102.0,42549.0,19
78114,0,3,0,0,0,1,7641.0,70840.0,123
78124,0,3,0,0,0,1,2433.0,75211.0,69
78130,0,13,0,1,3,2,28154.0,65627.0,2037
78133,0,2,0,0,0,1,7217.0,67366.0,385
78154,0,2,8,1,0,2,14457.0,80707.0,808
78155,0,3,2,2,0,1,17359.0,58004.0,455
78201,0,8,0,4,0,0,16307.0,37183.0,402
78202,0,3,0,0,0,1,3812.0,28130.0,144
78204,0,2,0,0,0,1,4195.0,40031.0,301
78205,2,27,0,5,1,10,1069.0,36094.0,122
78207,0,2,0,1,0,0,15443.0,27205.0,122
78208,0,14,0,7,0,0,1636.0,24455.0,54
78209,0,17,0,7,2,2,17623.0,73448.0,2160
78210,0,1,0,0,1,0,12428.0,38248.0,343
78212,0,11,0,3,0,2,10784.0,47623.0,860
78214,0,2,0,1,1,0,7831.0,35978.0,49
78215,0,26,0,12,0,1,1849.0,74408.0,395
78216,0,38,0,14,1,3,17410.0,50358.0,811
78217,0,2,8,0,1,1,13649.0,46152.0,296
78218,0,8,0,4,0,0,12483.0,42343.0,332
78223,0,5,0,3,0,0,18074.0,42762.0,236
78224,0,8,0,3,0,2,5948.0,46797.0,631
78226,0,4,0,2,0,0,2409.0,30401.0,12
78227,0,6,0,1,0,2,14764.0,39864.0,141
78228,0,2,0,0,0,1,18411.0,42418.0,258
78229,0,7,0,3,1,0,14196.0,40742.0,382
78230,0,9,10,2,3,2,18223.0,62332.0,1445
78232,0,7,0,4,0,0,15778.0,73787.0,1073
78233,0,6,1,3,2,0,17290.0,54865.0,491
78235,0,17,0,7,1,0,640.0,44583.0,27
78237,0,1,0,1,0,0,10961.0,31399.0,68
78238,0,8,0,3,2,0,9127.0,50402.0,229
78240,0,2,0,1,0,0,23493.0,56154.0,678
78245,0,6,1,4,0,0,21705.0,69609.0,1344
78249,0,7,0,3,0,1,20657.0,66539.0,1239
78251,0,19,0,6,0,3,20610.0,65691.0,931
78256,0,20,1,3,0,8,4271.0,91866.0,907
78257,0,6,10,2,0,2,3616.0,77269.0,1506
78258,0,21,0,9,0,1,16083.0,105598.0,2689
78259,0,6,0,1,0,1,9449.0,90840.0,1100
78336,0,3,0,0,0,1,4051.0,42691.0,62
78363,7,1,8,0,2,1,10414.0,43261.0,157
78373,0,14,0,2,1,2,2175.0,59746.0,75
78382,0,9,0,0,0,3,8328.0,47098.0,198
78401,0,4,0,2,0,0,1816.0,28464.0,41
78405,0,0,1,1,0,0,5243.0,30284.0,24
78408,0,7,0,0,0,2,4103.0,34718.0,24
78410,0,2,0,0,0,1,9632.0,73481.0,260
78411,0,5,0,0,0,2,9949.0,59148.0,182
78412,0,3,0,0,0,1,15172.0,50222.0,249
78415,0,2,1,1,2,0,13284.0,49011.0,120
78416,0,3,0,0,0,1,5193.0,37710.0,7
78418,10,5,0,0,1,2,12122.0,68109.0,449
78501,0,9,8,1,1,3,21189.0,38421.0,426
78503,0,1,0,0,0,1,6505.0,32353.0,282
78504,0,1,0,0,0,1,18141.0,64697.0,757
78521,0,1,8,0,1,1,25324.0,32169.0,315
78539,0,4,0,0,0,1,12203.0,54158.0,387
78550,0,1,0,1,0,0,16813.0,38239.0,228
78552,0,2,0,0,2,0,12527.0,49217.0,298
78589,0,4,0,2,0,1,10593.0,38689.0,93
78597,0,15,2,1,0,5,1645.0,45221.0,167
78602,13,10,0,0,2,0,9315.0,63592.0,437
78610,0,2,0,0,0,1,12584.0,80256.0,1134
78613,0,26,13,10,2,4,26937.0,104308.0,5733
78617,0,18,0,9,0,0,6790.0,62179.0,132
78620,0,4,0,1,1,1,6107.0,108570.0,1185
78624,0,17,0,0,1,6,9036.0,60761.0,353
78628,0,4,2,3,0,1,12333.0,95238.0,1964
78629,0,1,0,1,0,0,4402.0,53783.0,117
78636,0,8,8,2,1,2,1530.0,63836.0,45
78640,0,11,14,6,0,1,18428.0,75689.0,877
78641,0,11,0,5,1,0,21929.0,100562.0,4629
78643,0,1,0,0,1,0,2301.0,53590.0,83
78650,0,2,0,0,0,1,535.0,60515.0,56
78653,0,6,0,2,0,1,7270.0,73496.0,952
78654,0,4,0,2,0,0,7082.0,54034.0,306
78657,0,4,0,1,0,1,2720.0,71483.0,213
78660,0,6,0,2,0,1,30885.0,88204.0,4028
78664,0,4,11,0,0,2,20606.0,75766.0,1709
78665,0,17,0,6,1,2,14791.0,95932.0,3055
78666,0,28,13,5,2,6,29054.0,44159.0,1040
78676,0,4,1,1,0,3,5312.0,77028.0,411
78681,0,12,16,0,2,5,17448.0,107912.0,3108
78701,0,117,2,51,0,7,6395.0,122182.0,1926
78702,0,54,4,31,1,0,9713.0,65689.0,3546
78703,1,33,12,27,1,1,9545.0,108548.0,3170
78704,1,65,20,24,1,11,25071.0,75233.0,5479
78705,0,6,0,2,0,1,8873.0,20326.0,553
78717,0,28,1,11,0,2,10552.0,112590.0,3532
78719,0,35,2,18,0,1,428.0,64167.0,40
78721,0,10,0,6,0,0,4208.0,46591.0,475
78722,0,2,0,1,0,0,3260.0,72428.0,537
78723,0,33,6,21,1,0,13527.0,59197.0,2249
78724,0,6,0,3,0,0,6776.0,50625.0,574
78726,0,11,0,3,0,2,5877.0,77384.0,1165
78727,0,14,0,5,0,2,13557.0,80758.0,1900
78728,0,4,0,0,1,1,10008.0,57590.0,1022
78729,0,14,0,7,0,0,11898.0,80742.0,1492
78730,0,12,0,6,0,0,4059.0,124063.0,1448
78731,0,7,0,2,0,1,12537.0,94851.0,3256
