Zip_Code,Registrations,Total_Households,Median_Households_Estimate_Income,Type
53144,69,9879,60655,Urban
53146,18,3109,86388,Urban
53147,103,7287,66011,Rural
53149,29,7534,98625,Rural
53150,81,9651,95057,Urban
53151,110,13511,82325,Urban
53153,8,886,100750,Rural
53154,103,14714,74840,Urban
53156,9,1247,62260,Rural
53158,87,6334,89968,Urban
53168,26,3420,77588,Urban
53170,13,873,66336,Urban
53172,33,8607,52678,Urban
53177,8,2545,65671,Urban
53178,9,1151,65841,Rural
53179,10,2520,77535,Urban
53181,16,2844,69402,Urban
53182,18,3349,72536,Rural
53183,10,1081,102554,Urban
53184,8,1576,57400,Rural
53185,54,7326,95259,Urban
53186,126,13933,62271,Urban
53188,86,14413,68762,Urban
53189,60,9891,91325,Urban
53190,42,6497,48258,Urban
53191,7,1251,58144,Rural
53202,140,15696,55606,Urban
53203,30,985,72159,Urban
53204,75,13073,31446,Urban
53205,8,3311,21131,Urban
53206,27,7979,24557,Urban
53207,119,16588,64039,Urban
53208,38,12071,35171,Urban
53209,185,18610,36537,Urban
53210,26,9768,36419,Urban
53211,191,14509,62815,Urban
53212,69,13195,37543,Urban
53213,113,11420,80139,Urban
53214,49,15642,49468,Urban
53215,28,19108,39310,Urban
53216,25,13171,36517,Urban
53217,261,11437,107523,Urban
53218,38,13875,38584,Urban
53219,51,15003,58746,Urban
53220,28,11251,56808,Urban
53221,97,15951,51868,Urban
53222,61,11226,60023,Urban
53223,38,12341,50666,Urban
53224,28,7877,55262,Urban
53225,21,9897,44865,Urban
53226,80,8248,73398,Urban
53227,72,10869,51999,Urban
53228,50,6249,69018,Urban
53233,18,4531,15635,Urban
53235,21,4703,44563,Urban
53402,78,13643,61070,Urban
53403,34,10530,42829,Urban
53404,9,5593,37317,Urban
53405,42,10217,53915,Urban
53406,42,10904,62016,Urban
53502,2,1008,57267,Rural
53503,6,830,59063,Rural
53506,1,443,43594,Rural
53507,7,794,90625,Rural
53508,34,2193,88897,Rural
53511,73,19060,47096,Urban
53515,14,997,73664,Rural
53516,2,912,68382,Rural
53517,6,734,81944,Rural
53518,3,604,52222,Rural
53520,9,2653,61270,Rural
53521,22,1454,89071,Rural
53522,2,412,59762,Rural
53523,26,2142,86628,Rural
53527,50,3852,96111,Urban
53528,37,2501,87948,Urban
53529,6,833,91477,Urban
53530,6,1814,58833,Rural
53531,24,1755,81902,Rural
53532,68,5968,90546,Urban
53533,12,3028,64574,Rural
53534,44,4961,68578,Rural
53536,27,3509,73503,Rural
53538,49,7381,61815,Urban
53544,2,319,83125,Rural
53545,95,10047,56063,Urban
53546,105,12272,60950,Urban
53548,41,7657,53772,Urban
53549,9,4172,61706,Rural
53551,24,3465,73561,Rural
53553,5,224,60000,Rural
53555,25,3765,80991,Rural
53556,8,1181,52539,Rural
53558,81,4798,94951,Urban
53559,27,2199,73075,Rural
53560,9,1524,71346,Rural
53561,9,796,81944,Rural
53562,255,11336,86438,Urban
53563,21,4258,78266,Urban
53565,3,2019,60231,Rural
53566,34,6522,55821,Urban
53570,4,1091,68281,Rural
53572,75,3921,83794,Rural
53573,2,1337,47925,Rural
53574,12,1496,79444,Rural
53575,88,6091,95445,Rural
53576,11,878,68654,Rural
53577,1,582,67500,Rural
53578,34,2686,66613,Rural
53579,6,730,63365,Rural
53581,13,4375,51550,Rural
53582,2,478,62500,Rural
53583,12,2535,73894,Rural
53585,9,852,54038,Rural
53587,1,510,62679,Rural
53588,16,1719,65888,Rural
53589,71,8117,71963,Urban
53590,200,15914,82273,Urban
53593,337,9332,107029,Urban
53594,10,2194,77409,Rural
53597,124,7464,105500,Urban
53598,20,1027,95087,Urban
53703,212,16629,40902,Urban
53704,310,20861,62783,Urban
53705,324,12129,70934,Urban
53711,378,21205,82793,Urban
53713,198,9799,44493,Urban
53714,64,7107,56544,Urban
53715,97,4880,34104,Urban
53716,110,8117,76498,Urban
53717,85,6037,83125,Urban
53718,148,6698,78500,Urban
53719,248,13615,81490,Urban
53726,75,2384,37976,Urban
53804,2,526,50588,Rural
53805,19,1985,47958,Rural
53807,19,1986,68192,Rural
53809,1,1541,60197,Rural
53811,7,1278,63243,Rural
53813,9,2291,60208,Rural
53818,22,5552,52601,Urban
53820,2,954,60833,Rural
53821,16,3335,49916,Rural
53825,1,176,52083,Rural
53901,187,6155,52492,Rural
53910,10,1616,36429,Rural
53911,22,493,84583,Rural
53913,62,8979,53483,Urban
53916,49,9597,54428,Urban
53919,2,1032,72700,Rural
53923,2,750,68864,Rural
53925,23,3276,68750,Rural
53932,2,1003,76741,Rural
53933,5,1270,60250,Rural
53934,5,2015,39985,Rural
53941,4,1214,63684,Rural
53943,1,358,64583,Rural
